pcode,region,zone,woreda_name,report
ET041104,Oromia,Bale,Agarfa,1
ET041114,Oromia,Bale,Berbere,1
ET041122,Oromia,Bale,Dinsho,1
ET041106,Oromia,Bale,Gasera,1
ET041110,Oromia,Bale,Goba (OR),1
ET041120,Oromia,Bale,Goba town,1
ET041116,Oromia,Bale,Goro (Bale),1
ET041115,Oromia,Bale,Gura Damole,1
ET041111,Oromia,Bale,Harena Buluk,1
ET041112,Oromia,Bale,Mena (Bale),1
ET041119,Oromia,Bale,Robe town,1
ET041109,Oromia,Bale,Sinana,1
ET041219,Oromia,Borena,Dilo,1
ET041211,Oromia,Borena,Dire,1
ET041291,Oromia,Borena,Dubluk,1
ET041295,Oromia,Borena,Elwaya,1
ET041223,Oromia,Borena,Gomole,1
ET041290,Oromia,Borena,Guchi,1
ET041216,Oromia,Borena,Miyo,1
ET041210,Oromia,Borena,Moyale (OR),1
ET041212,Oromia,Borena,Teltale,1
ET041207,Oromia,Borena,Yabelo,1
ET041296,Oromia,Borena,Yabelo town,1
ET041622,Oromia,Buno Bedele,Bedele Zuria,1
ET041621,Oromia,Buno Bedele,Bedele town,1
ET041607,Oromia,Buno Bedele,Borecha,1
ET041603,Oromia,Buno Bedele,Chora (Buno Bedele),1
ET041623,Oromia,Buno Bedele,Chwaka,1
ET041605,Oromia,Buno Bedele,Dabo Hana,1
ET041608,Oromia,Buno Bedele,Dedesa,1
ET041604,Oromia,Buno Bedele,Dega,1
ET041606,Oromia,Buno Bedele,Gechi,1
ET041618,Oromia,Buno Bedele,Meko,1
ET042106,Oromia,East Bale,Dawe Ketchen,1
ET042103,Oromia,East Bale,Ginir,1
ET042107,Oromia,East Bale,Ginir town,1
ET042101,Oromia,East Bale,Gololcha Bale,1
ET042102,Oromia,East Bale,Lege Hida,1
ET042104,Oromia,East Bale,Rayitu,1
ET042105,Oromia,East Bale,Seweyna,1
ET042207,Oromia,East Borena,Arero,1
ET042209,Oromia,East Borena,Dhas,1
ET042205,Oromia,East Borena,Gora Dola,1
ET042206,Oromia,East Borena,Gumi Idalo,1
ET042202,Oromia,East Borena,Liben,1
ET042203,Oromia,East Borena,Meda Welabu,1
ET042201,Oromia,East Borena,Negele town,1
ET042208,Oromia,East Borena,Wachile,1
ET042204,Oromia,East Borena,West Welabu,1
ET041004,Oromia,East Hararge,Babile (OR),1
ET041000,Oromia,East Hararge,Babile town,1
ET041013,Oromia,East Hararge,Bedeno,1
ET041015,Oromia,East Hararge,Chinaksen,1
ET041011,Oromia,East Hararge,Deder,1
ET041097,Oromia,East Hararge,Deder town,1
ET041005,Oromia,East Hararge,Fedis,1
ET041016,Oromia,East Hararge,Girawa,1
ET041017,Oromia,East Hararge,Golo Oda,1
ET041010,Oromia,East Hararge,Goro Gutu,1
ET041089,Oromia,East Hararge,Goro Muti,1
ET041003,Oromia,East Hararge,Gursum (OR),1
ET041006,Oromia,East Hararge,Haro Maya,1
ET041002,Oromia,East Hararge,Jarso (East Hararge),1
ET041008,Oromia,East Hararge,Kersa (East Hararge),1
ET041001,Oromia,East Hararge,Kombolcha,1
ET041098,Oromia,East Hararge,Kumbi,1
ET041007,Oromia,East Hararge,Kurfa Chele,1
ET041019,Oromia,East Hararge,Maya town,1
ET041020,Oromia,East Hararge,Mekanisa Oromo,1
